city,state,total_e2w_ev
Tiruvanamalai,Tn:Tamil Nadu,5386
Alappuzha,Kl:Kerala,5384
Karad,Mh:Maharashtra,5382
Chandrapur,Mh:Maharashtra,5322
Pali,Rj:Rajasthan,5296
Bhuj Kachchh,Gj:Gujarat,5284
Bhavnagar,Gj:Gujarat,5269
Raichur,Ka:Karnataka,5232
Dharmapuri,Tn:Tamil Nadu,5226
Paravoor,Kl:Kerala,5222
Jammu,Jk:Jammund Kashmir,5214
Vidisha ,Mp:Madhya Pradesh,5189
Sri Ganganagar,Rj:Rajasthan,5149
Namakkal,Tn:Tamil Nadu,5096
Cherthala,Kl:Kerala,5085
Kamrup,As:Assam,5084
Vasant Vihar,Dl:Delhi,5054
Guna,Mp:Madhya Pradesh,5010
Oulgaret,Py:Pondicherry,5007
Perundurai,Tn:Tamil Nadu,5003
Jalandhar,Pb:Punjab,4989
Nelamangala,Ka:Karnataka,4969
Vashi,Mh:Maharashtra,4893
Ratnagiri,Mh:Maharashtra,4874
Kannur,Kl:Kerala,4873
Koduvally,Kl:Kerala,4871
Malappuram,Kl:Kerala,4859
Parbhani,Mh:Maharashtra,4846
Redhills,Tn:Tamil Nadu,4792
Ratlam ,Mp:Madhya Pradesh,4763
Bareilly,Up:Uttar Pradesh,4744
Bhandara,Mh:Maharashtra,4696
Sindhudurg,Mh:Maharashtra,4642
Mandsaur,Mp:Madhya Pradesh,4598
Tonk,Rj:Rajasthan,4528
Bulandshahar,Up:Uttar Pradesh,4526
Aluva,Kl:Kerala,4435
Nagaur,Rj:Rajasthan,4435
Neyyattinkara,Kl:Kerala,4416
Tanjavur,Tn:Tamil Nadu,4386
Tiruchirappalli,Tn:Tamil Nadu,4372
Chikkaballapura,Ka:Karnataka,4371
Bicholim,Ga:Goa,4366
Tuticorin,Tn:Tamil Nadu,4350
Korba,Cg:Chattisgarh,4330
nantapur,Ap:Andhra Pradesh,4303
Palakkad,Kl:Kerala,4289
 Chittoor,Ap:Andhra Pradesh,4255
Iranjalakkuda,Kl:Kerala,4212
Kazhakuttom,Kl:Kerala,4200
Narsinghpur ,Mp:Madhya Pradesh,4192
Dewas ,Mp:Madhya Pradesh,4168
Satna,Mp:Madhya Pradesh,4145
Moradabad,Up:Uttar Pradesh,4129
Rewa ,Mp:Madhya Pradesh,4117
Tripunithura,Kl:Kerala,4103
Bharuch,Gj:Gujarat,4095
Panipat,Hr:Haryana,4087
Firozabad,Up:Uttar Pradesh,4072
Nainital,Uk:Uttarakhand,4067
 Godavari Eluru,Ap:Andhra Pradesh,4064
Motihari,Br:Bihar,4056
Shivpuri ,Mp:Madhya Pradesh,4018
Nagercoil,Tn:Tamil Nadu,3978
Perumbavoor,Kl:Kerala,3974
Alipur,Wb:West Bengal,3870
Kottayam,Kl:Kerala,3835
Parassala,Kl:Kerala,3834
Ranipet,Tn:Tamil Nadu,3815
Devenahalli,Ka:Karnataka,3801
Chengalpattu,Tn:Tamil Nadu,3789
Patan,Gj:Gujarat,3786
Samastipur,Br:Bihar,3770
Didwana,Rj:Rajasthan,3718
A Roorkee,Uk:Uttarakhand,3695
Karunagappally,Kl:Kerala,3627
Puducherry,Py:Pondicherry,3618
Guruvayoor,Kl:Kerala,3598
Nilambur,Kl:Kerala,3594
Perinthalmanna,Kl:Kerala,3566
Ponda,Ga:Goa,3527
Chickmagalur,Ka:Karnataka,3522
Buldhana,Mh:Maharashtra,3510
Nadiad,Gj:Gujarat,3498
Kundrathur,Tn:Tamil Nadu,3498
Siliguri,Wb:West Bengal,3475
Rajsamand,Rj:Rajasthan,3443
Howrah,Wb:West Bengal,3435
Honnavara,Ka:Karnataka,3408
Durgapur,Wb:West Bengal,3404
Pollachi,Tn:Tamil Nadu,3394
Osmanabad,Mh:Maharashtra,3376
Tiruchencode,Tn:Tamil Nadu,3358
Asansole,Wb:West Bengal,3357
Chikkodi,Ka:Karnataka,3349
Tirunelveli,Tn:Tamil Nadu,3348
Vadakkancherry,Kl:Kerala,3332
Balodabazar,Cg:Chattisgarh,3298
Panaji,Ga:Goa,3273
Jangir Champa,Cg:Chattisgarh,3255
Jaunpur,Up:Uttar Pradesh,3229
Deoria,Up:Uttar Pradesh,3225
Barasat,Wb:West Bengal,3204
 Cuddapah,Ap:Andhra Pradesh,3187
Bhojpur,Br:Bihar,3182
Mattancherry,Kl:Kerala,3172
Bardoli,Gj:Gujarat,3166
Sitamarhi,Br:Bihar,3097
Gadag,Ka:Karnataka,3097
Azamgarh,Up:Uttar Pradesh,3096
Chattarpur,Mp:Madhya Pradesh,3074
Junagadh,Gj:Gujarat,3071
Bharatpur,Rj:Rajasthan,3048
Nadia,Wb:West Bengal,3042
Kancheepuram,Tn:Tamil Nadu,3028
Thalassery,Kl:Kerala,3010
Bijnor,Up:Uttar Pradesh,2988
Gurdaspur,Pb:Punjab,2987
Sehore ,Mp:Madhya Pradesh,2962
Cobichettipalayam,Tn:Tamil Nadu,2942
Hazaribag,Jh:Jharkhand,2937
Kumbakonam,Tn:Tamil Nadu,2915
Katni,Mp:Madhya Pradesh,2912
Karnal,Hr:Haryana,2908
Vaishali,Br:Bihar,2903
Attingal,Kl:Kerala,2896
Karur,Tn:Tamil Nadu,2880
Chalakkudy,Kl:Kerala,2874
Ponnani,Kl:Kerala,2860
Srirangam,Tn:Tamil Nadu,2820
Mau,Up:Uttar Pradesh,2820
Pattambi,Kl:Kerala,2801
Churu,Rj:Rajasthan,2799
Mettupalayam,Tn:Tamil Nadu,2797
Betul ,Mp:Madhya Pradesh,2787
Rohtak,Hr:Haryana,2785
Mirzapur,Up:Uttar Pradesh,2784
Pudukottai,Tn:Tamil Nadu,2780
Puttur,Ka:Karnataka,2778
Patiala,Pb:Punjab,2777
Kasaragod,Kl:Kerala,2733
Public Vehicles Department,Wb:West Bengal,2721
Rohtas,Br:Bihar,2712
Surendrangar,Gj:Gujarat,2689
Udhamsingh Nagar,Uk:Uttarakhand,2682
Seoni,Mp:Madhya Pradesh,2681
Baran,Rj:Rajasthan,2678
Bagalkot,Ka:Karnataka,2659
Muvattupuzha,Kl:Kerala,2649
Damoh ,Mp:Madhya Pradesh,2639
Dhamtari,Cg:Chattisgarh,2614
Medinipur,Wb:West Bengal,2611
Ghazipur,Up:Uttar Pradesh,2599
Raisen ,Mp:Madhya Pradesh,2578
Pratapgarh,Up:Uttar Pradesh,2577
Chomu,Rj:Rajasthan,2541
Bhiwadi,Rj:Rajasthan,2525
Beawar,Rj:Rajasthan,2520
Jamakhandi,Ka:Karnataka,2518
Ambejogai,Mh:Maharashtra,2510
Kasba Unit,Wb:West Bengal,2505
Kayamkulam,Kl:Kerala,2501
Koppal,Ka:Karnataka,2500
Vashim,Mh:Maharashtra,2488
Sirsi,Ka:Karnataka,2484
Hospet,Ka:Karnataka,2476
Thaliparamba,Kl:Kerala,2471
Dhar,Mp:Madhya Pradesh,2467
Alathur,Kl:Kerala,2462
Barmer,Rj:Rajasthan,2456
Sabarkantha,Gj:Gujarat,2456
Balaghat ,Mp:Madhya Pradesh,2447
Contai,Wb:West Bengal,2430
