city,state,total_e2w_ev
Hamirpur,Hp:Himachal Pradesh,153
Chatra,Jh:Jharkhand,152
Garhwa,Jh:Jharkhand,147
Amb,Hp:Himachal Pradesh,147
A Reasi,Jk:Jammund Kashmir,143
Udalguri,As:Assam,140
Budgam,Jk:Jammund Kashmir,139
A Chanchal,Wb:West Bengal,135
Simdega,Jh:Jharkhand,133
Saharsa,Br:Bihar,132
Rla Mandi,Hp:Himachal Pradesh,132
Nangal,Pb:Punjab,131
Tohana,Hr:Haryana,130
D T O Khunti,Jh:Jharkhand,127
Sundernagar,Hp:Himachal Pradesh,127
Tosham,Hr:Haryana,125
Dharamsala,Hp:Himachal Pradesh,124
Phillaur,Pb:Punjab,123
Sahebganj,Jh:Jharkhand,123
A Islampur,Wb:West Bengal,120
A Mathabhanga,Wb:West Bengal,114
Chirang,As:Assam,114
Diu,Dd:Damannd Diu,113
Baksa,As:Assam,112
Unit Office Yanam,Py:Pondicherry,111
Loharu,Hr:Haryana,107
Anandpur Sahib,Pb:Punjab,106
Naduan,Hp:Himachal Pradesh,105
Bishramganj,Tr:Tripura,105
Patran,Pb:Punjab,104
Hailakandi,As:Assam,103
Nalbari,As:Assam,102
Dhubri,As:Assam,100
Sunam,Pb:Punjab,100
Payal,Pb:Punjab,97
Tripura,Tr:Tripura,94
Unakoti Kailashahar,Tr:Tripura,94
Sultanpur Lodhi,Pb:Punjab,92
Kokrajhar,As:Assam,91
Nurpur,Hp:Himachal Pradesh,89
Baijnath,Hp:Himachal Pradesh,84
Dehra,Hp:Himachal Pradesh,83
Morigaon,As:Assam,82
Dindori ,Mp:Madhya Pradesh,80
Mukerian,Pb:Punjab,75
Ponta Sahib,Hp:Himachal Pradesh,75
Port Blair,An:Andamannd Nicobar,74
Bangana,Hp:Himachal Pradesh,72
Latehar,Jh:Jharkhand,71
Kullu,Hp:Himachal Pradesh,70
Haryana,Hr:Haryana,68
Anantnag,Jk:Jammund Kashmir,68
Pulwama,Jk:Jammund Kashmir,68
Karbinglog,As:Assam,68
Ratia,Hr:Haryana,66
Gidderbaha,Pb:Punjab,66
Patti,Pb:Punjab,66
Khamao,Pb:Punjab,64
Balachaur,Pb:Punjab,64
Dhalai,Tr:Tripura,62
A Ganderbal,Jk:Jammund Kashmir,62
Pakur,Jh:Jharkhand,61
Goalpara,As:Assam,60
Raikot,Pb:Punjab,59
Bassi,Pb:Punjab,59
Zira,Pb:Punjab,59
Rampura Phul,Pb:Punjab,58
Sardulgarh,Pb:Punjab,58
Baghapurana,Pb:Punjab,57
Ferozepur Zirkha,Hr:Haryana,56
Dabwali,Hr:Haryana,56
Ghumarwin,Hp:Himachal Pradesh,56
Thoubal,Mn:Manipur,54
Doda,Jk:Jammund Kashmir,54
Jogindernagar,Hp:Himachal Pradesh,52
Barsar,Hp:Himachal Pradesh,51
Bhoranj,Hp:Himachal Pradesh,50
Siwani,Hr:Haryana,50
Shimla,Hp:Himachal Pradesh,50
Bilaspur Sadar,Hp:Himachal Pradesh,46
Poonch,Jk:Jammund Kashmir,44
Shahkot,Pb:Punjab,42
Nahan,Hp:Himachal Pradesh,42
Pithoragarh,Uk:Uttarakhand,41
Solan,Hp:Himachal Pradesh,41
Aahwa,Gj:Gujarat,41
Champawat,Uk:Uttarakhand,40
Sarkaghat,Hp:Himachal Pradesh,40
Rla Jawalamukhi,Hp:Himachal Pradesh,40
Chamkaur Sahib,Pb:Punjab,40
Garhshankar,Pb:Punjab,38
Nihal Singh Wala,Pb:Punjab,37
Dhemaji,As:Assam,36
Jawali,Hp:Himachal Pradesh,36
Tapa,Pb:Punjab,35
Jaitu,Pb:Punjab,34
A Bandipora,Jk:Jammund Kashmir,33
Itanagar,Ar:Arunachal Pradesh,33
Dasuya,Pb:Punjab,33
Sukma,Cg:Chattisgarh,30
Talwandi Sabo,Pb:Punjab,29
Bishnupur,Mn:Manipur,28
Dimapur,Nl:Nagaland,28
A Kishtwar,Jk:Jammund Kashmir,26
Dera Baba Nanak,Pb:Punjab,26
Lunglei,Mz:Mizoram,26
Chamba,Hp:Himachal Pradesh,23
Moonak,Pb:Punjab,22
A Ramban,Jk:Jammund Kashmir,21
Parwanoo,Hp:Himachal Pradesh,21
Nakodar,Pb:Punjab,21
Jaisinghpur,Hp:Himachal Pradesh,21
Gohar,Hp:Himachal Pradesh,21
Kupwara,Jk:Jammund Kashmir,20
Tehri,Uk:Uttarakhand,20
Baba Bakala,Pb:Punjab,18
Bageshwar,Uk:Uttarakhand,18
Tura,Ml:Meghalaya,17
Mandi,Hp:Himachal Pradesh,17
Teliamura,Tr:Tripura,17
Kolasib,Mz:Mizoram,15
Rla Sujanpur,Hp:Himachal Pradesh,14
Paddhar,Hp:Himachal Pradesh,14
A Shopian,Jk:Jammund Kashmir,14
Khadoor Sahib,Pb:Punjab,13
Almora,Uk:Uttarakhand,13
A Kulgam,Jk:Jammund Kashmir,13
Karsog,Hp:Himachal Pradesh,12
Chowari,Hp:Himachal Pradesh,12
Champhai,Mz:Mizoram,11
Rla Dharampur,Hp:Himachal Pradesh,11
Nongpoh,Ml:Meghalaya,11
Bholath,Pb:Punjab,10
mpati,Ml:Meghalaya,9
Manali,Hp:Himachal Pradesh,8
Kandaghat,Hp:Himachal Pradesh,7
Serchhip,Mz:Mizoram,6
 Resubelpara,Ml:Meghalaya,6
Arki,Hp:Himachal Pradesh,6
Kavaratti,Ld:Lakshadweep,6
Dalhousie,Hp:Himachal Pradesh,4
Pasighat,Ar:Arunachal Pradesh,4
Kalpa,Hp:Himachal Pradesh,4
Dhar Kalan,Pb:Punjab,3
Chamoli,Uk:Uttarakhand,3
Uttarkashi,Uk:Uttarakhand,3
Tezu,Ar:Arunachal Pradesh,3
Roing,Ar:Arunachal Pradesh,3
Anni,Hp:Himachal Pradesh,3
Jowai,Ml:Meghalaya,3
Rajgarh,Hp:Himachal Pradesh,3
Kohima,Nl:Nagaland,3
Theog,Hp:Himachal Pradesh,3
Chaupal,Hp:Himachal Pradesh,2
Rudraprayag,Uk:Uttarakhand,2
Nongstoin,Ml:Meghalaya,2
Mamit,Mz:Mizoram,2
Banjar,Hp:Himachal Pradesh,2
Sikkim,Sk:Sikkim,2
Daporijo,Ar:Arunachal Pradesh,2
Lawngtlai,Mz:Mizoram,2
Churah,Hp:Himachal Pradesh,2
Ziro,Ar:Arunachal Pradesh,1
Saiha,Mz:Mizoram,1
Keylong,Hp:Himachal Pradesh,1
Along,Ar:Arunachal Pradesh,1
Dodra Kawar,Hp:Himachal Pradesh,1
Rla Shillai,Hp:Himachal Pradesh,1
Rampur,Hp:Himachal Pradesh,1
Nichar,Hp:Himachal Pradesh,1
 Khliehriat,Ml:Meghalaya,1
